Threshold,Accuracy,Preictal Precision,Preictal Recall,Preictal F1,Macro F1,False Alarms,Missed Preictal
0.5,86.05000000000001,84.36606291706387,88.5,86.3836017569546,86.04162148329534,164,115
0.51,86.1,84.44656488549617,88.5,86.42578125,86.09198898565573,163,115
0.52,86.1,84.44656488549617,88.5,86.42578125,86.09198898565573,163,115
0.53,86.15,84.5272206303725,88.5,86.46800195407914,86.14234711119215,162,115
0.54,86.15,84.5272206303725,88.5,86.46800195407914,86.14234711119215,162,115
0.55,86.1,84.51242829827916,88.4,86.41251221896383,86.09264300815131,162,116
0.56,86.15,84.5933014354067,88.4,86.45476772616138,86.14298488609859,161,116
0.57,86.1,84.57854406130268,88.3,86.39921722113503,86.09326914226484,161,117
0.58,86.15,84.72622478386167,88.2,86.42822146006858,86.14417709042225,159,118
0.59,86.25,84.8893166506256,88.2,86.51299656694458,86.24476957363036,157,118
0.6,86.15,84.86017357762778,88.0,86.40157093765342,86.14525821462395,157,120
0.61,86.1,84.84555984555985,87.9,86.34577603143418,86.09549494036068,157,121
0.62,86.05000000000001,84.83091787439614,87.8,86.28992628992629,86.04572650374178,157,122
0.63,86.0,84.81624758220502,87.7,86.23402163225173,85.99595283036798,157,123
0.64,85.95,84.80154888673765,87.6,86.17806197737335,85.94617384582952,157,124
0.65,85.9,84.85436893203884,87.4,86.10837438423646,85.89682678602686,156,126
0.66,85.95,84.93683187560738,87.4,86.15081320847709,85.94704536628825,155,126
0.67,85.95,85.00486854917236,87.3,86.13714849531327,85.94743892074331,154,127
0.68,85.95,85.00486854917236,87.3,86.13714849531327,85.94743892074331,154,127
0.69,85.95,85.00486854917236,87.3,86.13714849531327,85.94743892074331,154,127
0.7,86.0,85.08771929824562,87.3,86.1796643632774,85.99763360007842,153,127
0.71,85.95,85.07317073170732,87.2,86.12345679012346,85.94780434442882,153,128
0.72,85.9,85.12720156555773,87.0,86.05341246290801,85.89829369353691,152,130
0.73,85.85000000000001,85.1126346718903,86.9,85.99703117268679,85.8484397904869,152,131
0.74,85.9,85.26522593320236,86.8,86.02576808721506,85.89885780748241,150,132
0.75,85.85000000000001,85.25073746312685,86.7,85.96926127912742,85.84897758863079,150,133
0.76,85.85000000000001,85.38993089832182,86.5,85.94138102334824,85.8494021372403,148,135
0.77,85.9,85.47430830039525,86.5,85.98409542743539,85.89949238172574,147,135
0.78,85.9,85.47430830039525,86.5,85.98409542743539,85.89949238172574,147,135
0.79,85.95,85.62933597621407,86.4,86.01294176207068,85.94971548173851,145,136
0.8,85.95,85.77114427860697,86.2,85.98503740648378,85.94991218695117,143,138
0.81,85.95,85.84247258225324,86.1,85.97104343484773,85.94996838742888,142,139
0.82,85.9,85.9,85.9,85.9,85.9,141,141
0.83,85.85000000000001,85.95787362086259,85.7,85.82874311467201,85.84996816242837,140,143
0.84,85.9,86.04417670682732,85.7,85.87174348697395,85.8999435997744,139,143
0.85,85.85000000000001,86.03015075376884,85.6,85.81453634085213,85.84991156194725,139,144
0.86,85.85000000000001,86.03015075376884,85.6,85.81453634085213,85.84991156194725,139,144
0.87,85.8,86.08870967741935,85.39999999999999,85.7429718875502,85.79977279636475,138,146
0.88,85.75,86.07467204843591,85.3,85.68558513309894,85.74971143165648,138,147
0.89,85.7,86.1336032388664,85.1,85.61368209255534,85.69948518146653,137,149
0.9,85.55,86.1648016276704,84.7,85.4261220373172,85.54895591206466,136,153
